sms;atrib;atributo
2;652;Atributo_8
2;898;Atributo_10
5;898;Atributo_10
7;652;Atributo_8
7;898;Atributo_10
8;898;Atributo_10
9;898;Atributo_10
10;652;Atributo_8
10;898;Atributo_10
12;652;Atributo_8
12;898;Atributo_10
14;652;Atributo_8
14;898;Atributo_10
15;652;Atributo_8
15;898;Atributo_10
16;652;Atributo_8
16;870;Atributo_26
17;652;Atributo_8
17;898;Atributo_10
18;523;Atributo_33
18;652;Atributo_8
18;898;Atributo_10
19;37;Atributo_31
19;53;Atributo_24
19;628;Atributo_29
19;772;Atributo_28
19;898;Atributo_10
20;652;Atributo_8
20;898;Atributo_10
21;652;Atributo_8
21;898;Atributo_10
22;652;Atributo_8
22;898;Atributo_10
23;28;Atributo_1
23;35;Atributo_22
23;56;Atributo_5
23;57;Atributo_6
23;73;Atributo_7
24;870;Atributo_26
25;35;Atributo_22
25;56;Atributo_5
25;57;Atributo_6
25;73;Atributo_7
25;870;Atributo_26
27;28;Atributo_1
27;55;Atributo_32
27;56;Atributo_5
27;57;Atributo_6
27;73;Atributo_7
27;870;Atributo_26
27;898;Atributo_10
28;35;Atributo_22
28;56;Atributo_5
28;57;Atributo_6
28;73;Atributo_7
28;870;Atributo_26
29;772;Atributo_28
31;652;Atributo_8
31;898;Atributo_10
32;652;Atributo_8
32;898;Atributo_10
33;652;Atributo_8
33;898;Atributo_10
34;652;Atributo_8
34;898;Atributo_10
35;652;Atributo_8
35;898;Atributo_10
36;652;Atributo_8
36;898;Atributo_10
37;652;Atributo_8
37;898;Atributo_10
38;28;Atributo_1
38;35;Atributo_22
38;37;Atributo_31
38;56;Atributo_5
38;57;Atributo_6
38;73;Atributo_7
39;35;Atributo_22
39;57;Atributo_6
39;652;Atributo_8
40;28;Atributo_1
40;35;Atributo_22
40;37;Atributo_31
40;56;Atributo_5
40;57;Atributo_6
40;73;Atributo_7
41;28;Atributo_1
41;32;Atributo_37
41;35;Atributo_22
41;37;Atributo_31
41;54;Atributo_40
41;56;Atributo_5
41;57;Atributo_6
41;73;Atributo_7
41;772;Atributo_28
42;28;Atributo_1
42;32;Atributo_37
42;35;Atributo_22
42;37;Atributo_31
42;54;Atributo_40
42;56;Atributo_5
42;57;Atributo_6
42;73;Atributo_7
42;772;Atributo_28
43;652;Atributo_8
43;898;Atributo_10
44;652;Atributo_8
44;898;Atributo_10
45;628;Atributo_29
46;652;Atributo_8
46;898;Atributo_10
47;652;Atributo_8
47;898;Atributo_10
48;652;Atributo_8
49;652;Atributo_8
49;898;Atributo_10
50;470;Atributo_19
51;470;Atributo_19
53;652;Atributo_8
53;898;Atributo_10
54;45;Atributo_39
55;898;Atributo_10
56;38;Atributo_4
57;24;Atributo_48
57;40;Atributo_16
57;59;Atributo_50
57;64;Atributo_46
57;652;Atributo_8
58;35;Atributo_22
58;36;Atributo_49
58;56;Atributo_5
58;57;Atributo_6
58;73;Atributo_7
58;652;Atributo_8
58;898;Atributo_10
59;24;Atributo_48
59;30;Atributo_2
59;32;Atributo_37
59;36;Atributo_49
59;37;Atributo_31
59;55;Atributo_32
59;64;Atributo_46
59;652;Atributo_8
59;898;Atributo_10
60;35;Atributo_22
60;56;Atributo_5
60;57;Atributo_6
60;73;Atributo_7
60;898;Atributo_10
61;898;Atributo_10
62;30;Atributo_2
62;32;Atributo_37
62;37;Atributo_31
62;53;Atributo_24
62;55;Atributo_32
62;64;Atributo_46
63;26;Atributo_35
63;27;Atributo_36
63;40;Atributo_16
64;35;Atributo_22
65;27;Atributo_36
65;40;Atributo_16
66;7;Atributo_30
66;35;Atributo_22
66;56;Atributo_5
66;57;Atributo_6
66;73;Atributo_7
66;898;Atributo_10
67;652;Atributo_8
67;898;Atributo_10
68;652;Atributo_8
68;898;Atributo_10
69;652;Atributo_8
69;898;Atributo_10
70;55;Atributo_32
71;652;Atributo_8
71;898;Atributo_10
72;7;Atributo_30
72;652;Atributo_8
