seccion;grupo;familia;auxfam;descripm
10;0;0;1000;Familia_1
10;0;1;1001;Familia_2
10;0;2;1002;Familia_3
10;0;3;1003;Familia_4
10;0;4;1004;Familia_5
10;1;0;1010;Familia_6
10;1;1;1011;Familia_7
10;1;2;1012;Familia_8
10;1;3;1013;Familia_9
10;1;4;1014;Familia_10
10;1;5;1015;Familia_11
10;1;6;1016;Familia_12
10;1;7;1017;Familia_13
10;2;0;1020;Familia_14
10;2;1;1021;Familia_15
10;2;2;1022;Familia_16
10;2;3;1023;Familia_17
10;2;4;1024;Familia_18
10;2;5;1025;Familia_19
10;3;0;1030;Familia_20
10;3;1;1031;Familia_21
10;3;2;1032;Familia_22
10;3;3;1033;Familia_23
10;3;4;1034;Familia_24
10;4;0;1040;Familia_25
10;4;1;1041;Familia_26
10;4;2;1042;Familia_27
10;4;3;1043;Familia_28
10;5;0;1050;Familia_29
10;5;1;1051;Familia_30
10;5;2;1052;Familia_31
10;5;3;1053;Familia_32
10;5;4;1054;Familia_33
10;6;0;1060;Familia_34
10;6;1;1061;Familia_35
10;6;2;1062;Familia_36
10;6;3;1063;Familia_37
10;6;4;1064;Familia_38
10;6;5;1065;Familia_39
10;6;6;1066;Familia_40
10;6;7;1067;Familia_41
10;6;8;1068;Familia_42
10;6;9;1069;Familia_43
10;7;0;1070;Familia_44
10;7;1;1071;Familia_45
10;7;2;1072;Familia_46
10;7;3;1073;Familia_47
10;7;4;1074;Familia_48
10;7;5;1075;Familia_49
10;7;6;1076;Familia_50
10;7;7;1077;Familia_51
10;7;8;1078;Familia_52
10;7;9;1079;Familia_53
10;8;0;1080;Familia_54
10;8;1;1081;Familia_55
10;8;2;1082;Familia_56
10;8;3;1083;Familia_57
10;9;0;1090;Familia_58
10;9;1;1091;Familia_59
10;9;2;1092;Familia_60
10;9;3;1093;Familia_61
10;9;4;1094;Familia_62
10;9;5;1095;Familia_63
10;9;6;1096;Familia_64
10;9;7;1097;Familia_65
10;9;8;1098;Familia_66
10;9;9;1099;Familia_67
11;0;1;1101;Familia_68
11;0;2;1102;Familia_69
11;0;3;1103;Familia_70
11;0;4;1104;Familia_71
11;0;5;1105;Familia_72
11;1;1;1111;Familia_73
11;1;2;1112;Familia_74
11;1;3;1113;Familia_75
11;1;4;1114;Familia_76
11;1;5;1115;Familia_77
11;1;6;1116;Familia_78
11;1;7;1117;Familia_79
11;1;8;1118;Familia_80
11;1;9;1119;Familia_81
11;2;0;1120;Familia_82
11;2;1;1121;Familia_83
11;2;2;1122;Familia_84
11;2;3;1123;Familia_85
11;2;4;1124;Familia_86
11;2;5;1125;Familia_87
11;2;6;1126;Familia_88
11;2;7;1127;Familia_89
11;2;8;1128;Familia_90
11;2;9;1129;Familia_91
11;3;1;1131;Familia_92
11;3;2;1132;Familia_93
11;3;3;1133;Familia_94
11;3;4;1134;Familia_95
11;3;5;1135;Familia_96
11;4;1;1141;Familia_97
11;4;2;1142;Familia_98
11;4;3;1143;Familia_99
11;4;4;1144;Familia_100
11;4;5;1145;Familia_101
11;4;6;1146;Familia_102
11;5;1;1151;Familia_103
11;5;2;1152;Familia_104
11;5;3;1153;Familia_105
11;5;4;1154;Familia_106
11;5;5;1155;Familia_107
11;5;6;1156;Familia_108
11;5;7;1157;Familia_109
11;5;8;1158;Familia_110
11;5;9;1159;Familia_111
11;6;1;1161;Familia_112
11;6;2;1162;Familia_113
11;6;3;1163;Familia_114
11;6;4;1164;Familia_115
11;6;5;1165;Familia_116
11;6;6;1166;Familia_117
11;7;1;1171;Familia_118
11;7;2;1172;Familia_119
11;7;3;1173;Familia_120
11;7;4;1174;Familia_121
11;8;1;1181;Familia_122
11;8;2;1182;Familia_123
11;8;3;1183;Familia_124
11;8;4;1184;Familia_125
11;8;5;1185;Familia_126
11;8;6;1186;Familia_127
11;8;7;1187;Familia_128
11;8;8;1188;Familia_129
11;9;1;1191;Familia_130
11;9;2;1192;Familia_131
11;9;3;1193;Familia_132
11;9;4;1194;Familia_133
11;9;5;1195;Familia_134
11;9;6;1196;Familia_135
11;9;7;1197;Familia_136
11;9;8;1198;Familia_137
11;9;9;1199;Familia_138
14;0;0;1400;Familia_139
14;0;1;1401;Familia_140
14;0;2;1402;Familia_141
14;0;3;1403;Familia_142
14;0;4;1404;Familia_143
14;0;5;1405;Familia_144
14;0;6;1406;Familia_145
14;0;7;1407;Familia_146
14;0;8;1408;Familia_147
14;1;0;1410;Familia_148
14;1;1;1411;Familia_149
14;1;2;1412;Familia_150
14;1;3;1413;Familia_151
14;1;4;1414;Familia_152
14;1;5;1415;Familia_153
14;2;0;1420;Familia_154
14;2;1;1421;Familia_155
14;2;2;1422;Familia_156
14;2;3;1423;Familia_157
14;2;4;1424;Familia_158
14;2;5;1425;Familia_159
14;2;6;1426;Familia_160
14;2;7;1427;Familia_161
14;2;8;1428;Familia_162
14;2;9;1429;Familia_163
14;3;0;1430;Familia_164
14;3;1;1431;Familia_165
14;3;2;1432;Familia_166
14;4;0;1440;Familia_167
14;4;1;1441;Familia_168
14;4;2;1442;Familia_169
14;4;3;1443;Familia_170
14;4;4;1444;Familia_171
14;4;5;1445;Familia_172
14;5;0;1450;Familia_173
14;5;1;1451;Familia_174
14;5;2;1452;Familia_175
14;5;3;1453;Familia_176
14;5;4;1454;Familia_177
14;5;5;1455;Familia_178
14;5;6;1456;Familia_179
