tienda;nombre;region;rol;tarifa_pvp
Sto1;nameSto1;Region_7;Rol_1;Tarifa_2
Sto2;nameSto2;Region_7;Rol_1;Tarifa_2
Sto3;nameSto3;Region_7;Rol_1;Tarifa_2
Sto4;nameSto4;Region_7;Rol_1;Tarifa_2
Sto5;nameSto5;Region_7;Rol_1;Tarifa_2
Sto6;nameSto6;Region_4;Rol_4;Tarifa_2
Sto7;nameSto7;Region_5;Rol_4;Tarifa_2
Sto8;nameSto8;Region_4;Rol_4;Tarifa_2
Sto9;nameSto9;Region_7;Rol_4;Tarifa_2
Sto10;nameSto10;Region_7;Rol_4;Tarifa_2
Sto11;nameSto11;Region_5;Rol_4;Tarifa_2
Sto12;nameSto12;Region_3;Rol_1;Tarifa_3
Sto13;nameSto13;Region_3;Rol_5;Tarifa_4
Sto14;nameSto14;Region_6;Rol_1;Tarifa_2
Sto15;nameSto15;Region_3;Rol_2;Tarifa_4
Sto16;nameSto16;Region_6;Rol_5;Tarifa_4
Sto17;nameSto17;Region_6;Rol_1;Tarifa_2
Sto18;nameSto18;Region_4;Rol_4;Tarifa_2
Sto19;nameSto19;Region_7;Rol_1;Tarifa_4
Sto20;nameSto20;Region_7;Rol_1;Tarifa_2
Sto21;nameSto21;Region_8;Rol_1;Tarifa_3
Sto22;nameSto22;Region_8;Rol_1;Tarifa_2
Sto23;nameSto23;Region_7;Rol_2;Tarifa_3
Sto24;nameSto24;Region_7;Rol_2;Tarifa_4
Sto25;nameSto25;Region_3;Rol_5;Tarifa_2
Sto26;nameSto26;Region_7;Rol_4;Tarifa_2
Sto27;nameSto27;Region_7;Rol_1;Tarifa_2
Sto28;nameSto28;Region_4;Rol_4;Tarifa_2
Sto29;nameSto29;Region_7;Rol_1;Tarifa_3
Sto30;nameSto30;Region_2;Rol_4;Tarifa_3
Sto31;nameSto31;Region_6;Rol_5;Tarifa_4
Sto32;nameSto32;Region_4;Rol_2;Tarifa_1
Sto33;nameSto33;Region_2;Rol_4;Tarifa_3
Sto34;nameSto34;Region_8;Rol_1;Tarifa_2
Sto35;nameSto35;Region_3;Rol_1;Tarifa_3
Sto37;nameSto37;Region_7;Rol_1;Tarifa_2
Sto38;nameSto38;Region_8;Rol_1;Tarifa_3
Sto39;nameSto39;Region_9;Rol_2;Tarifa_2
Sto40;nameSto40;Region_7;Rol_2;Tarifa_4
Sto41;nameSto41;Region_7;Rol_2;Tarifa_4
Sto42;nameSto42;Region_2;Rol_5;Tarifa_3
Sto46;nameSto46;Region_5;Rol_1;Tarifa_2
Sto47;nameSto47;Region_7;Rol_1;Tarifa_1
Sto48;nameSto48;Region_1;Rol_4;Tarifa_1
Sto49;nameSto49;Region_6;Rol_1;Tarifa_3
Sto50;nameSto50;Region_7;Rol_1;Tarifa_2
Sto53;nameSto53;Region_2;Rol_1;Tarifa_3
Sto54;nameSto54;Region_8;Rol_1;Tarifa_3
Sto55;nameSto55;Region_3;Rol_1;Tarifa_3
Sto56;nameSto56;Region_2;Rol_1;Tarifa_3
Sto57;nameSto57;Region_7;Rol_2;Tarifa_4
Sto58;nameSto58;Region_8;Rol_1;Tarifa_3
Sto59;nameSto59;Region_7;Rol_1;Tarifa_2
Sto60;nameSto60;Region_7;Rol_1;Tarifa_3
Sto61;nameSto61;Region_8;Rol_1;Tarifa_3
Sto62;nameSto62;Region_7;Rol_4;Tarifa_2
Sto63;nameSto63;Region_6;Rol_2;Tarifa_1
Sto64;nameSto64;Region_4;Rol_1;Tarifa_2
Sto66;nameSto66;Region_6;Rol_1;Tarifa_2
Sto67;nameSto67;Region_7;Rol_1;Tarifa_2
Sto68;nameSto68;Region_6;Rol_5;Tarifa_2
Sto69;nameSto69;Region_2;Rol_5;Tarifa_3
Sto70;nameSto70;Region_6;Rol_5;Tarifa_3
Sto71;nameSto71;Region_7;Rol_1;Tarifa_3
Sto73;nameSto73;Region_5;Rol_1;Tarifa_1
Sto74;nameSto74;Region_8;Rol_1;Tarifa_2
Sto75;nameSto75;Region_8;Rol_4;Tarifa_3
Sto76;nameSto76;Region_4;Rol_4;Tarifa_2
Sto77;nameSto77;Region_7;Rol_1;Tarifa_2
Sto78;nameSto78;Region_7;Rol_1;Tarifa_2
Sto79;nameSto79;Region_2;Rol_4;Tarifa_3
Sto80;nameSto80;Region_2;Rol_5;Tarifa_3
Sto81;nameSto81;Region_7;Rol_1;Tarifa_2
Sto83;nameSto83;Region_5;Rol_4;Tarifa_2
Sto84;nameSto84;Region_3;Rol_1;Tarifa_3
Sto85;nameSto85;Region_8;Rol_1;Tarifa_3
Sto86;nameSto86;Region_5;Rol_4;Tarifa_1
Sto87;nameSto87;Region_7;Rol_1;Tarifa_4
Sto88;nameSto88;Region_8;Rol_1;Tarifa_2
Sto89;nameSto89;Region_1;Rol_1;Tarifa_2
Sto90;nameSto90;Region_7;Rol_1;Tarifa_3
Sto91;nameSto91;Region_6;Rol_1;Tarifa_2
Sto92;nameSto92;Region_8;Rol_4;Tarifa_2
Sto93;nameSto93;Region_7;Rol_1;Tarifa_2
Sto94;nameSto94;Region_3;Rol_1;Tarifa_2
Sto95;nameSto95;Region_6;Rol_1;Tarifa_2
Sto96;nameSto96;Region_6;Rol_1;Tarifa_2
Sto97;nameSto97;Region_1;Rol_1;Tarifa_1
Sto98;nameSto98;Region_1;Rol_2;Tarifa_1
Sto99;nameSto99;Region_4;Rol_1;Tarifa_2
Sto100;nameSto100;Region_4;Rol_1;Tarifa_3
Sto101;nameSto101;Region_1;Rol_1;Tarifa_3
Sto102;nameSto102;Region_8;Rol_2;Tarifa_2
Sto103;nameSto103;Region_4;Rol_1;Tarifa_2
Sto104;nameSto104;Region_6;Rol_1;Tarifa_2
Sto105;nameSto105;Region_8;Rol_1;Tarifa_2
Sto106;nameSto106;Region_4;Rol_1;Tarifa_2
Sto107;nameSto107;Region_7;Rol_1;Tarifa_2
Sto108;nameSto108;Region_8;Rol_4;Tarifa_3
Sto109;nameSto109;Region_4;Rol_4;Tarifa_3
Sto110;nameSto110;Region_7;Rol_1;Tarifa_2
Sto111;nameSto111;Region_7;Rol_1;Tarifa_2
Sto112;nameSto112;Region_6;Rol_1;Tarifa_2
Sto113;nameSto113;Region_1;Rol_2;Tarifa_1
Sto114;nameSto114;Region_3;Rol_1;Tarifa_2
Sto116;nameSto116;Region_1;Rol_1;Tarifa_1
Sto117;nameSto117;Region_3;Rol_5;Tarifa_4
Sto118;nameSto118;Region_3;Rol_1;Tarifa_2
Sto119;nameSto119;Region_8;Rol_1;Tarifa_2
Sto120;nameSto120;Region_3;Rol_1;Tarifa_2
Sto122;nameSto122;Region_8;Rol_2;Tarifa_3
Sto123;nameSto123;Region_6;Rol_2;Tarifa_2
