seccion;grupo;familia;auxfam;descripm
10;0;0;1000;FAM.1000
10;0;1;1001;FAM.1001
10;0;2;1002;FAM.1002
10;0;3;1003;FAM.1003
10;0;4;1004;FAM.1004
10;1;0;1010;FAM.1010
10;1;1;1011;FAM.1011
10;1;2;1012;FAM.1012
10;1;3;1013;FAM.1013
10;1;4;1014;FAM.1014
10;1;5;1015;FAM.1015
10;1;6;1016;FAM.1016
10;1;7;1017;FAM.1017
10;2;0;1020;FAM.1020
10;2;1;1021;FAM.1021
10;2;2;1022;FAM.1022
10;2;3;1023;FAM.1023
10;2;4;1024;FAM.1024
10;2;5;1025;FAM.1025
10;3;0;1030;FAM.1030
10;3;1;1031;FAM.1031
10;3;2;1032;FAM.1032
10;3;3;1033;FAM.1033
10;3;4;1034;FAM.1034
10;4;0;1040;FAM.1040
10;4;1;1041;FAM.1041
10;4;2;1042;FAM.1042
10;4;3;1043;FAM.1043
10;5;0;1050;FAM.1050
10;5;1;1051;FAM.1051
10;5;2;1052;FAM.1052
10;5;3;1053;FAM.1053
10;5;4;1054;FAM.1054
10;6;0;1060;FAM.1060
10;6;1;1061;FAM.1061
10;6;2;1062;FAM.1062
10;6;3;1063;FAM.1063
10;6;4;1064;FAM.1064
10;6;5;1065;FAM.1065
10;6;6;1066;FAM.1066
10;6;7;1067;FAM.1067
10;6;8;1068;FAM.1068
10;6;9;1069;FAM.1069
10;7;0;1070;FAM.1070
10;7;1;1071;FAM.1071
10;7;2;1072;FAM.1072
10;7;3;1073;FAM.1073
10;7;4;1074;FAM.1074
10;7;5;1075;FAM.1075
10;7;6;1076;FAM.1076
10;7;7;1077;FAM.1077
10;7;8;1078;FAM.1078
10;7;9;1079;FAM.1079
10;8;0;1080;FAM.1080
10;8;1;1081;FAM.1081
10;8;2;1082;FAM.1082
10;8;3;1083;FAM.1083
10;9;0;1090;FAM.1090
10;9;1;1091;FAM.1091
10;9;2;1092;FAM.1092
10;9;3;1093;FAM.1093
10;9;4;1094;FAM.1094
10;9;5;1095;FAM.1095
10;9;6;1096;FAM.1096
10;9;7;1097;FAM.1097
10;9;8;1098;FAM.1098
10;9;9;1099;FAM.1099
11;0;1;1101;FAM.1101
11;0;2;1102;FAM.1102
11;0;3;1103;FAM.1103
11;0;4;1104;FAM.1104
11;0;5;1105;FAM.1105
11;1;1;1111;FAM.1111
11;1;2;1112;FAM.1112
11;1;3;1113;FAM.1113
11;1;4;1114;FAM.1114
11;1;5;1115;FAM.1115
11;1;6;1116;FAM.1116
11;1;7;1117;FAM.1117
11;1;8;1118;FAM.1118
11;1;9;1119;FAM.1119
11;2;0;1120;FAM.1120
11;2;1;1121;FAM.1121
11;2;2;1122;FAM.1122
11;2;3;1123;FAM.1123
11;2;4;1124;FAM.1124
11;2;5;1125;FAM.1125
11;2;6;1126;FAM.1126
11;2;7;1127;FAM.1127
11;2;8;1128;FAM.1128
11;2;9;1129;FAM.1129
11;3;1;1131;FAM.1131
11;3;2;1132;FAM.1132
11;3;3;1133;FAM.1133
11;3;4;1134;FAM.1134
11;3;5;1135;FAM.1135
11;4;1;1141;FAM.1141
11;4;2;1142;FAM.1142
11;4;3;1143;FAM.1143
11;4;4;1144;FAM.1144
11;4;5;1145;FAM.1145
11;4;6;1146;FAM.1146
11;5;1;1151;FAM.1151
11;5;2;1152;FAM.1152
11;5;3;1153;FAM.1153
11;5;4;1154;FAM.1154
11;5;5;1155;FAM.1155
11;5;6;1156;FAM.1156
11;5;7;1157;FAM.1157
11;5;8;1158;FAM.1158
11;5;9;1159;FAM.1159
11;6;1;1161;FAM.1161
11;6;2;1162;FAM.1162
11;6;3;1163;FAM.1163
11;6;4;1164;FAM.1164
11;6;5;1165;FAM.1165
11;6;6;1166;FAM.1166
11;7;1;1171;FAM.1171
11;7;2;1172;FAM.1172
11;7;3;1173;FAM.1173
11;7;4;1174;FAM.1174
11;8;1;1181;FAM.1181
11;8;2;1182;FAM.1182
11;8;3;1183;FAM.1183
11;8;4;1184;FAM.1184
11;8;5;1185;FAM.1185
11;8;6;1186;FAM.1186
11;8;7;1187;FAM.1187
11;8;8;1188;FAM.1188
11;9;1;1191;FAM.1191
11;9;2;1192;FAM.1192
11;9;3;1193;FAM.1193
11;9;4;1194;FAM.1194
11;9;5;1195;FAM.1195
11;9;6;1196;FAM.1196
11;9;7;1197;FAM.1197
11;9;8;1198;FAM.1198
11;9;9;1199;FAM.1199
14;0;0;1400;FAM.1400
14;0;1;1401;FAM.1401
14;0;2;1402;FAM.1402
14;0;3;1403;FAM.1403
14;0;4;1404;FAM.1404
14;0;5;1405;FAM.1405
14;0;6;1406;FAM.1406
14;0;7;1407;FAM.1407
14;0;8;1408;FAM.1408
14;1;0;1410;FAM.1410
14;1;1;1411;FAM.1411
14;1;2;1412;FAM.1412
14;1;3;1413;FAM.1413
14;1;4;1414;FAM.1414
14;1;5;1415;FAM.1415
14;2;0;1420;FAM.1420
14;2;1;1421;FAM.1421
14;2;2;1422;FAM.1422
14;2;3;1423;FAM.1423
14;2;4;1424;FAM.1424
14;2;5;1425;FAM.1425
14;2;6;1426;FAM.1426
14;2;7;1427;FAM.1427
14;2;8;1428;FAM.1428
14;2;9;1429;FAM.1429
14;3;0;1430;FAM.1430
14;3;1;1431;FAM.1431
14;3;2;1432;FAM.1432
14;4;0;1440;FAM.1440
14;4;1;1441;FAM.1441
14;4;2;1442;FAM.1442
14;4;3;1443;FAM.1443
14;4;4;1444;FAM.1444
14;4;5;1445;FAM.1445
14;5;0;1450;FAM.1450
14;5;1;1451;FAM.1451
14;5;2;1452;FAM.1452
14;5;3;1453;FAM.1453
14;5;4;1454;FAM.1454
14;5;5;1455;FAM.1455
14;5;6;1456;FAM.1456
14;5;7;1457;FAM.1457
14;5;8;1458;FAM.1458
14;6;0;1460;FAM.1460
14;6;1;1461;FAM.1461
14;6;2;1462;FAM.1462
14;6;3;1463;FAM.1463
14;6;4;1464;FAM.1464
14;6;5;1465;FAM.1465
14;7;0;1470;FAM.1470
14;7;1;1471;FAM.1471
14;7;2;1472;FAM.1472
14;7;3;1473;FAM.1473
14;7;4;1474;FAM.1474
14;7;5;1475;FAM.1475
14;7;6;1476;FAM.1476
14;7;7;1477;FAM.1477
14;7;8;1478;FAM.1478
14;7;9;1479;FAM.1479
14;9;9;1499;FAM.1499
15;0;0;1500;FAM.1500
15;0;1;1501;FAM.1501
15;0;2;1502;FAM.1502
15;0;3;1503;FAM.1503
15;0;4;1504;FAM.1504
15;0;5;1505;FAM.1505
15;0;6;1506;FAM.1506
15;0;7;1507;FAM.1507
15;0;8;1508;FAM.1508
15;0;9;1509;FAM.1509
15;1;0;1510;FAM.1510
15;1;1;1511;FAM.1511
15;1;2;1512;FAM.1512
15;1;3;1513;FAM.1513
15;1;4;1514;FAM.1514
15;1;5;1515;FAM.1515
15;1;6;1516;FAM.1516
15;1;7;1517;FAM.1517
15;1;8;1518;FAM.1518
15;2;0;1520;FAM.1520
15;2;1;1521;FAM.1521
15;2;2;1522;FAM.1522
15;2;3;1523;FAM.1523
15;2;4;1524;FAM.1524
15;3;0;1530;FAM.1530
15;3;1;1531;FAM.1531
15;3;2;1532;FAM.1532
15;3;3;1533;FAM.1533
15;3;4;1534;FAM.1534
15;3;5;1535;FAM.1535
15;3;6;1536;FAM.1536
15;3;7;1537;FAM.1537
15;3;8;1538;FAM.1538
15;3;9;1539;FAM.1539
15;4;0;1540;FAM.1540
15;4;1;1541;FAM.1541
15;4;2;1542;FAM.1542
15;4;3;1543;FAM.1543
15;4;4;1544;FAM.1544
15;5;0;1550;FAM.1550
15;5;1;1551;FAM.1551
15;5;2;1552;FAM.1552
15;5;3;1553;FAM.1553
15;5;4;1554;FAM.1554
15;5;5;1555;FAM.1555
15;5;6;1556;FAM.1556
15;5;7;1557;FAM.1557
15;5;8;1558;FAM.1558
15;5;9;1559;FAM.1559
15;6;0;1560;FAM.1560
