seccion;grupo;auxgrp;descripm
10;0;100;GRP.100
10;1;101;GRP.101
10;2;102;GRP.102
10;3;103;GRP.103
10;4;104;GRP.104
10;5;105;GRP.105
10;6;106;GRP.106
10;7;107;GRP.107
10;8;108;GRP.108
10;9;109;GRP.109
11;0;110;GRP.110
11;1;111;GRP.111
11;2;112;GRP.112
11;3;113;GRP.113
11;4;114;GRP.114
11;5;115;GRP.115
11;6;116;GRP.116
11;7;117;GRP.117
11;8;118;GRP.118
11;9;119;GRP.119
14;0;140;GRP.140
14;1;141;GRP.141
14;2;142;GRP.142
14;3;143;GRP.143
14;4;144;GRP.144
14;5;145;GRP.145
14;6;146;GRP.146
14;7;147;GRP.147
14;9;149;GRP.149
15;0;150;GRP.150
15;1;151;GRP.151
15;2;152;GRP.152
15;3;153;GRP.153
15;4;154;GRP.154
15;5;155;GRP.155
15;6;156;GRP.156
15;7;157;GRP.157
15;8;158;GRP.158
15;9;159;GRP.159
20;0;200;GRP.200
20;1;201;GRP.201
20;2;202;GRP.202
20;4;204;GRP.204
21;0;210;GRP.210
21;1;211;GRP.211
21;2;212;GRP.212
21;3;213;GRP.213
21;4;214;GRP.214
21;5;215;GRP.215
21;6;216;GRP.216
21;7;217;GRP.217
21;9;219;GRP.219
22;0;220;GRP.220
22;1;221;GRP.221
22;2;222;GRP.222
22;3;223;GRP.223
22;4;224;GRP.224
22;5;225;GRP.225
22;6;226;GRP.226
22;9;229;GRP.229
23;0;230;GRP.230
23;1;231;GRP.231
23;2;232;GRP.232
23;3;233;GRP.233
23;4;234;GRP.234
24;0;240;GRP.240
24;1;241;GRP.241
24;2;242;GRP.242
24;3;243;GRP.243
24;4;244;GRP.244
24;5;245;GRP.245
24;6;246;GRP.246
24;7;247;GRP.247
24;8;248;GRP.248
24;9;249;GRP.249
26;0;260;GRP.260
26;1;261;GRP.261
26;2;262;GRP.262
26;3;263;GRP.263
26;4;264;GRP.264
26;6;266;GRP.266
30;0;300;GRP.300
30;1;301;GRP.301
30;2;302;GRP.302
30;3;303;GRP.303
30;4;304;GRP.304
30;5;305;GRP.305
30;6;306;GRP.306
30;7;307;GRP.307
30;8;308;GRP.308
30;9;309;GRP.309
31;0;310;GRP.310
31;1;311;GRP.311
31;2;312;GRP.312
31;3;313;GRP.313
31;4;314;GRP.314
31;5;315;GRP.315
31;6;316;GRP.316
31;7;317;GRP.317
31;8;318;GRP.318
31;9;319;GRP.319
32;0;320;GRP.320
32;1;321;GRP.321
32;2;322;GRP.322
32;3;323;GRP.323
32;4;324;GRP.324
32;5;325;GRP.325
32;6;326;GRP.326
32;7;327;GRP.327
32;8;328;GRP.328
32;9;329;GRP.329
33;0;330;GRP.330
33;1;331;GRP.331
33;2;332;GRP.332
33;3;333;GRP.333
33;4;334;GRP.334
33;5;335;GRP.335
33;6;336;GRP.336
33;7;337;GRP.337
33;8;338;GRP.338
33;9;339;GRP.339
34;0;340;GRP.340
34;1;341;GRP.341
34;2;342;GRP.342
34;3;343;GRP.343
34;4;344;GRP.344
34;5;345;GRP.345
34;6;346;GRP.346
34;7;347;GRP.347
34;8;348;GRP.348
34;9;349;GRP.349
35;0;350;GRP.350
35;1;351;GRP.351
35;2;352;GRP.352
35;3;353;GRP.353
35;4;354;GRP.354
35;5;355;GRP.355
35;6;356;GRP.356
35;7;357;GRP.357
35;8;358;GRP.358
35;9;359;GRP.359
